id,juId,content,poetId,poetName,poetryId,poetryName
341,353,美人卷珠帘，深坐颦蛾眉。,247,李白,8502,怨情
342,354,相思相望不相亲，天为谁春。,188,纳兰性德,71946,画堂春·一生一代一双人
343,356,今日俸钱过十万，与君营奠复营斋。,18,元稹,20686,遣悲怀三首·其一
344,357,执子之手，与子偕老。,0,,31,击鼓
345,358,碧水浩浩云茫茫，美人不来空断肠。,247,李白,8050,早春寄王汉阳
346,359,无那尘缘容易绝，燕子依然，软踏帘钩说。,188,纳兰性德,70750,蝶恋花·辛苦最怜天上月
347,360,石壕村里夫妻别，泪比长生殿上多。,676,袁枚,71035,马嵬
348,361,乌啼隐杨花，君醉留妾家。,247,李白,7745,杨叛儿
349,362,凝恨对残晖，忆君君不知。,622,韦庄,71948,菩萨蛮·洛阳城里春光好
350,363,清风明月苦相思，荡子从戎十载馀。,515,王维,5796,伊州歌
351,364,四月十七，正是去年今日，别君时。,622,韦庄,71060,女冠子·四月十七
352,365,春已归来，看美人头上，袅袅春幡。,217,辛弃疾,57801,汉宫春·立春日
353,366,肥水东流无尽期。当初不合种相思。,30,姜夔,59329,鹧鸪天·元夕有所梦
354,367,若是前生未有缘，待重结、来生愿。,462,乐婉,64874,卜算子·答施
355,368,终日望君君不至，举头闻鹊喜。,186,冯延巳,71069,谒金门·风乍起
356,369,同穴窅冥何所望，他生缘会更难期。,18,元稹,70854,遣悲怀三首·其三
357,370,夜夜相思更漏残，伤心明月凭阑干，想君思我锦衾寒。,622,韦庄,71996,浣溪沙·夜夜相思更漏残
358,371,忆君迢迢隔青天，昔日横波目，今作流泪泉。,247,李白,70877,长相思·其二
359,372,恨君却似江楼月，暂满还亏，暂满还亏，待得团圆是几时？,644,吕本中,52881,采桑子·恨君不似江楼月
360,373,感君缠绵意，系在红罗襦。,390,张籍,19761,节妇吟·寄东平李司空师道
361,374,新知遭薄俗，旧好隔良缘。,204,李商隐,28626,风雨
362,375,相思只在：丁香枝上，豆蔻梢头。,187,王雱,71086,眼儿媚·杨柳丝丝弄轻柔
363,376,夜长争得薄情知，春初早被相思染。,30,姜夔,59335,踏莎行·自沔东来丁未元日至金陵江上感梦而作
364,377,可怜闺里月，长在汉家营。,494,沈佺期,70850,杂诗三首·其三
365,378,画船捶鼓催君去。高楼把酒留君住。,0,,49836,菩萨蛮·画船捶鼓催君去
366,379,出入君怀袖，动摇微风发。,652,班婕妤,47964,怨歌行
367,380,君宠益娇态，君怜无是非。,515,王维,5528,西施咏
368,381,若待得君来向此，花前对酒不忍触。,183,苏轼,49464,贺新郎·夏景
369,382,柳色披衫金缕凤，纤手轻拈红豆弄，翠蛾双敛正含情。,528,和凝,71634,天仙子·柳色披衫金缕凤
370,383,殷勤花下同携手。更尽杯中酒。美人不用敛蛾眉。,71,叶梦得,52041,虞美人·雨后同干誉才卿置酒来禽花下作
371,384,红豆不堪看，满眼相思泪。,594,牛希济,48184,生查子·新月曲如眉
372,385,鸳鸯俱是白头时，江南渭北三千里。,399,贺铸,50472,惜余春·急雨收春
373,386,惜分长怕君先去，直待醉时休。,399,贺铸,71420,眼儿媚·萧萧江上荻花秋
374,387,秾艳一枝细看取，芳心千重似束。,183,苏轼,49464,贺新郎·夏景
375,388,重见金英人未见。相思一夜天涯远。,588,晏几道,49135,蝶恋花·黄菊开时伤聚散
376,389,夫死战场子在腹，妾身虽存如昼烛。,390,张籍,19748,征妇怨
377,390,相思难表，梦魂无据，惟有归来是。,561,欧阳修,71372,青玉案·一年春事都来几
378,391,谁料同心结不成，翻就相思结。,526,夏完淳,70706,卜算子·秋色到空闺
379,392,群燕辞归鹄南翔，念君客游多断肠。,616,曹丕,48007,燕歌行二首·其一
380,393,斑竹枝，斑竹枝，泪痕点点寄相思。,197,刘禹锡,71051,潇湘神·斑竹枝
381,394,妾身悔作商人妇，妾命当逢薄幸夫。,476,徐再思,71969,阳春曲·闺怨
382,395,君怀良不开，贱妾当何依。,322,曹植,71941,七哀诗
383,396,曾与美人桥上别，恨无消息到今朝。,197,刘禹锡,19086,杨柳枝 / 柳枝词
384,397,一夜相思，水边清浅横枝瘦。,244,陈亮,58943,点绛唇·咏梅月
385,398,相思无因见，怅望凉风前。,247,李白,71278,折荷有赠
386,399,一语不入意，从君万曲梁尘飞。,247,李白,7731,夜坐吟
387,400,两岸人家微雨后，收红豆，树底纤纤抬素手。,175,欧阳炯,72008,南乡子·路入南中
388,401,残月出门时，美人和泪辞。,622,韦庄,71057,菩萨蛮·红楼别夜堪惆怅
389,402,肠已断，泪难收。相思重上小红楼。,217,辛弃疾,57565,鹧鸪天·代人赋
390,403,还怕两人俱薄命，再缘悭、剩月零风里。,188,纳兰性德,72156,金缕曲·亡妇忌日有感
391,404,绮席象床寒玉枕，美人何处醉黄花。,557,汪元量,63747,望江南·幽州九日
392,405,忆昔花间相见后，只凭纤手，暗抛红豆。,175,欧阳炯,71699,贺明朝·忆昔花间相见后
393,407,小轩独坐相思处，情绪好无聊。,574,石孝友,58578,眼儿媚·愁云淡淡雨潇潇
394,408,贱妾茕茕守空房，忧来思君不敢忘，不觉泪下沾衣裳。,616,曹丕,48007,燕歌行二首·其一
395,409,红烛背，绣帘垂，梦长君不知。,415,温庭筠,71990,更漏子·柳丝长
396,410,忆君心似西江水，日夜东流无歇时。,114,鱼玄机,42958,江陵愁望寄子安 / 江陵愁望有寄
397,411,花落花开自有时，总赖东君主。,214,严蕊,66149,卜算子·不是爱风尘
398,412,愿为西南风，长逝入君怀。,322,曹植,71941,七哀诗
399,413,君知妾有夫，赠妾双明珠。,390,张籍,19761,节妇吟·寄东平李司空师道
400,414,相思本是无凭语，莫向花笺费泪行。,588,晏几道,49144,鹧鸪天·醉拍春衫惜旧香
401,415,别后不知君远近。触目凄凉多少闷。,561,欧阳修,48798,玉楼春·别后不知君远近
402,416,怕相思，已相思，轮到相思没处辞，眉间露一丝。,17,俞彦,72051,长相思·折花枝
403,417,闺中少妇不知愁，春日凝妆上翠楼。,437,王昌龄,6443,闺怨
404,418,今夜鄜州月，闺中只独看。,474,杜甫,10832,月夜
405,419,相思似海深，旧事如天远。,462,乐婉,64874,卜算子·答施
406,420,寂寞深闺，柔肠一寸愁千缕。,536,李清照,52822,点绛唇·闺思
407,421,奴为出来难，教君恣意怜。,269,李煜,71706,菩萨蛮·花明月暗笼轻雾
408,422,相思已是不曾闲，又那得、工夫咒你。,14,蜀妓,66086,鹊桥仙·说盟说誓
409,424,月色入高楼，相思两处愁。,381,秋瑾,72097,菩萨蛮·寄女伴
410,425,山远天高烟水寒，相思枫叶丹。,269,李煜,71075,长相思·一重山
411,426,当君怀归日，是妾断肠时。,247,李白,7822,春思
412,427,知君用心如日月，事夫誓拟同生死。,390,张籍,19761,节妇吟·寄东平李司空师道
413,428,相逢一醉是前缘，风雨散、飘然何处。,183,苏轼,71824,鹊桥仙·七夕
414,429,此曲有意无人传，愿随春风寄燕然，忆君迢迢隔青天。,247,李白,7833,长相思三首·其二
415,430,相思了无益，悔当初相见。,637,朱彝尊,70741,忆少年·飞花时节
416,431,旋开旋落旋成空，白发多情人更惜。,163,司空图,47122,酒泉子·买得杏花
417,432,问君何事轻离别，一年能几团圞月。,188,纳兰性德,70761,菩萨蛮·问君何事轻离别
418,434,为君憔悴尽，百花时。,415,温庭筠,71950,南歌子·倭堕低梳髻
419,435,琵琶弦上说相思。当时明月在，曾照彩云归。,588,晏几道,49119,临江仙·梦后楼台高锁
420,436,两情若是久长时，又岂在朝朝暮暮。,125,秦观,50243,鹊桥仙·纤云弄巧
421,437,相思相见知何日？此时此夜难为情！,247,李白,8488,三五七言 / 秋风词
422,438,十二楼中尽晓妆，望仙楼上望君王。,524,薛逢,29632,宫词
423,439,闲坐悲君亦自悲，百年多是几多时。,18,元稹,70854,遣悲怀三首·其三
424,440,断无蜂蝶慕幽香，红衣脱尽芳心苦。,399,贺铸,50475,芳心苦·杨柳回塘
425,441,两鬓可怜青，只为相思老。,588,晏几道,49157,生查子·关山魂梦长
426,442,看朱成碧思纷纷，憔悴支离为忆君。,298,武则天,551,如意娘
427,443,一日不见兮，思之如狂。,70,司马相如,71939,凤求凰
428,444,入我相思门，知我相思苦。,247,李白,8488,三五七言 / 秋风词
429,445,凄凉别后两应同，最是不胜清怨月明中。,188,纳兰性德,71942,虞美人·曲阑深处重相见
430,446,还君明珠双泪垂，恨不相逢未嫁时。,390,张籍,19761,节妇吟·寄东平李司空师道
431,447,思君如流水，何有穷已时。,419,徐干,48012,室思
432,448,落红不是无情物，化作春泥更护花。,88,龚自珍,71045,己亥杂诗·其五
433,449,心似双丝网，中有千千结。,587,张先,48510,千秋岁·数声鶗鴂
434,450,似此星辰非昨夜，为谁风露立中宵。,585,黄景仁,71707,绮怀
435,451,直道相思了无益，未妨惆怅是清狂。,204,李商隐,28900,无题·重帏深下莫愁堂
436,452,人到情多情转薄，而今真个悔多情。,188,纳兰性德,71512,山花子·风絮飘残已化萍
437,453,此情可待成追忆？只是当时已惘然。,204,李商隐,28569,锦瑟
438,454,相思一夜情多少，地角天涯未是长。,348,张仲素,19125,燕子楼诗三首
439,455,问世间，情为何物，直教生死相许？,600,元好问,71618,摸鱼儿·雁丘词 / 迈陂塘
440,456,身无彩凤双飞翼，心有灵犀一点通。,204,李商隐,70857,无题·昨夜星辰昨夜风
441,457,兽炉沉水烟，翠沼残花片。一行写入相思传。,394,张可久,72377,塞鸿秋·春情
442,458,寂寂花时闭院门，美人相并立琼轩。,350,朱庆馀,27137,宫词 / 宫中词
443,459,平生不会相思，才会相思，便害相思。,476,徐再思,71949,折桂令·春情
444,460,一寸相思千万绪。人间没个安排处。,579,李冠,65087,蝶恋花·春暮
445,461,十年生死两茫茫，不思量，自难忘。,183,苏轼,49480,江城子·乙卯正月二十日夜记梦
446,462,天长地久有时尽，此恨绵绵无绝期。,665,白居易,21744,长恨歌
447,463,春蚕到死丝方尽，蜡炬成灰泪始干。,204,李商隐,28698,无题·相见时难别亦难
448,464,窈窕淑女，君子好逑。,0,,1,关雎
449,465,人生自是有情痴，此恨不关风与月。,561,欧阳修,48789,玉楼春·尊前拟把归期说
450,466,落花人独立，微雨燕双飞。,588,晏几道,49119,临江仙·梦后楼台高锁
451,468,千金纵买相如赋，脉脉此情谁诉。,217,辛弃疾,57515,摸鱼儿·更能消几番风雨
452,469,结发为夫妻，恩爱两不疑。,460,苏武,71945,留别妻
